positionCode,catches,height,weight,lastAmateurClub,lastAmateurLeague,birthDate,birthCity,birthStateProvince,birthCountryCode,midtermRank,finalRank,draftYear,international,fullName
G,L,78,196,Brynas Jr.,SWEDEN-JR.,1990-01-31,Gavle,NA,SWE,2,1,2008,TRUE,Jacob Markstrom
G,L,74,220,Guelph,OHL,1989-12-07,Amherst,NY,USA,3,1,2008,FALSE,Thomas McCollum
G,L,74,215,Tri-City,WHL,1989-11-29,Moncton,NB,CAN,1,2,2008,FALSE,Chet Pickard
G,L,73,202,Tappara,FINLAND,1989-12-29,Toijala,NA,FIN,NA,2,2008,TRUE,Harri Sateri
G,L,74,185,Lewiston,QMJHL,1990-02-16,Alliston,ON,CAN,2,3,2008,FALSE,Peter Delmas
G,L,78,220,Brynas,SWEDEN,1988-05-03,Gavle,NA,SWE,NA,3,2008,TRUE,Anders Lindback
G,L,73,200,Saskatoon,WHL,1989-09-16,Lloydminster,SK,CAN,9,4,2008,FALSE,Braden Holtby
G,R,74,183,Barrie,OHL,1990-03-02,Barrie,ON,CAN,18,5,2008,FALSE,Michael Hutchinson
G,L,74,190,FLORIDA,NHL,1988-09-20,Novokuznetsk,NA,RUS,NA,5,2008,TRUE,Sergei Bobrovsky
G,L,74,186,Seattle,WHL,1990-03-18,East York,ON,CAN,NA,6,2008,FALSE,Jacob Deserres
G,L,73,202,Victoriaville,QMJHL,1990-04-12,Montreal,QC,CAN,NA,7,2008,FALSE,Kevin Poulin
G,L,74,185,St. John's,QMJHL,1990-08-07,Fredericton,NB,CAN,NA,8,2008,FALSE,Jake Allen
G,L,71,185,Spokane,WHL,1989-09-16,Humboldt,SK,CAN,NA,9,2008,FALSE,Dustin Tokarski
G,L,75,191,Mississauga St. Michael's,OHL,1990-03-02,Ottawa,ON,CAN,NA,10,2008,FALSE,Christopher Carrozzi
G,L,73,200,GENEVE,SWISS,1989-10-09,Havirov,NA,CZE,NA,14,2008,FALSE,Robert Mayer
G,L,76,204,Brampton,OHL,1990-04-15,Almonte,ON,CAN,NA,15,2008,FALSE,Patrick Killeen
G,L,76,205,Owen Sound,OHL,1990-04-28,Sudbury,ON,CAN,NA,16,2008,FALSE,Tyler Beskorowany
G,L,72,164,Red Deer,WHL,1990-02-17,Toronto,ON,CAN,NA,18,2008,FALSE,Morgan Clark
G,L,71,170,NA,NA,1988-07-12,King City,ON,CAN,NA,19,2008,FALSE,Andrew Perugini
G,L,73,197,Baie Comeau,QMJHL,1989-11-09,St. Lazare,QC,CAN,NA,20,2008,FALSE,Marco Cousineau
G,L,75,174,NA,NA,1990-01-10,North Vancouver,BC,CAN,NA,21,2008,FALSE,Martin Jones
G,L,72,188,NA,NA,1990-06-14,Buckingham,QC,CAN,NA,22,2008,FALSE,Mathieu Leclair
G,L,80,221,Peterborough,OHL,1990-04-25,Chatham,ON,CAN,NA,23,2008,FALSE,Jason Missiaen
G,L,72,170,NA,NA,1990-05-02,Labrador City,NL,CAN,NA,26,2008,FALSE,Nicolas Champion
G,L,73,177,NA,NA,1989-09-23,Waltham,MA,USA,NA,30,2008,FALSE,Steven Hopkins
G,L,75,220,Frolunda Jr.,SWEDEN-JR.,1991-07-24,Gothenburg,NA,SWE,1,1,2009,TRUE,Robin Lehner
G,L,74,178,Plymouth,OHL,1990-03-07,London,ON,CAN,8,1,2009,FALSE,Matthew Hackett
G,L,79,202,Blues,FINLAND,1988-07-18,Vantaa,NA,FIN,2,2,2009,TRUE,Mikko Koskinen
G,L,72,194,Cape Breton,QMJHL,1991-07-12,Amqui,QC,CAN,4,2,2009,FALSE,Olivier Roy
G,L,74,218,Saginaw,OHL,1990-11-20,Toronto,ON,CAN,1,3,2009,FALSE,Edward Pasquale
G,L,76,202,TRNAVA,SLOVAKIA-2,1991-01-21,Bratislava,NA,SVK,4,3,2009,TRUE,Juraj Holly
G,L,76,209,NA,NA,1988-10-22,Zurich,NA,CHE,3,4,2009,TRUE,Lukas Flueler
G,L,73,185,Fargo,USHL,1990-10-05,Fargo,ND,USA,3,4,2009,FALSE,Michael Lee
G,L,74,195,Owen Sound,OHL,1991-06-14,Cambridge,ON,CAN,2,5,2009,FALSE,Scott Stajcer
G,L,77,226,Lulea Jr.,SWEDEN-JR.,1990-03-19,Lulea,NA,SWE,7,5,2009,TRUE,Anders Nilsson
G,R,75,190,Plzen,Czech Republic,1991-07-18,Ceske Budejovice,NA,CZE,5,6,2009,TRUE,Marek Mazanec
G,L,73,187,TPS Jr.,Finland Jr.,1991-04-16,Turku,NA,FIN,8,7,2009,TRUE,Joni Ortio
G,L,74,177,Oshawa,OHL,1991-05-08,Toronto,ON,CAN,10,7,2009,FALSE,Michael Zador
G,L,73,196,USA U-18,USDP,1991-03-22,Winter Park,FL,USA,11,8,2009,FALSE,Brandon Maxwell
G,L,76,206,Red Deer,WHL,1990-05-05,Saskatoon,SK,CAN,6,9,2009,FALSE,Darcy Kuemper
G,L,72,172,NA,NA,1991-03-02,Espoo,NA,FIN,NA,9,2009,TRUE,Erno Suomalainen
G,L,73,170,Montreal,QMJHL,1991-07-13,Repentigay,QC,CAN,5,10,2009,FALSE,Jean-Francois Berube
G,L,78,236,Magnitogorsk 2,RUSSIA-3,1991-01-02,Surgud,NA,RUS,NA,10,2009,TRUE,Igor Bobkov
G,L,72,190,GENEVE,SWISS,1989-05-12,Rauma,NA,FIN,12,11,2009,TRUE,Antti Raanta
G,L,77,185,Kootenay,WHL,1991-08-08,Abbotsford,BC,CAN,12,11,2009,FALSE,Nathan Lieuwen
G,R,75,200,NA,NA,1991-09-04,Wilmette,IL,USA,7,12,2009,FALSE,Cab Morris
G,L,73,198,NA,NA,1989-07-18,Stockholm,NA,SWE,NA,12,2009,TRUE,Mark Owuya
G,L,71,183,MANNHEIM,GERMANY,1990-12-16,Breisach,NA,DEU,11,13,2009,TRUE,Felix Bruckmann
G,L,72,190,Erie,OHL,1989-09-21,Presov,NA,SVK,18,13,2009,FALSE,Jaroslav Janus
G,L,71,194,NA,NA,1990-01-13,Oakville,ON,CAN,13,14,2009,FALSE,Peter Di Salvo
G,L,73,200,Merrimack,H-EAST,1990-01-02,Wakefield,MA,USA,NA,15,2009,FALSE,Joe Cannata
G,L,76,192,NA,NA,1990-12-30,Ville Ste-Catherine,QC,CAN,19,16,2009,FALSE,Karel St-Laurent
G,L,72,190,Boston University,H-EAST,1989-08-31,Edmonton,AB,CAN,NA,17,2009,FALSE,Kieran Millan
G,L,76,194,NA,NA,1991-04-04,Victoria,BC,CAN,15,18,2009,FALSE,Jon Groenheyde
G,L,77,215,Miami University,CCHA,1990-05-01,New York City,NY,USA,999,19,2009,FALSE,Connor Knapp
G,L,71,160,NA,NA,1991-02-06,King City,ON,CAN,16,20,2009,FALSE,Christopher Perugini
G,L,74,182,NA,NA,1990-04-27,Holliston,MA,USA,17,21,2009,FALSE,Michael Condon
G,L,74,188,Saskatoon,WHL,1991-02-09,Edmonton,AB,CAN,NA,24,2009,FALSE,Adam Morrison
G,L,74,194,NA,NA,1990-12-21,Sudbury,ON,CAN,22,25,2009,FALSE,Alain Valiquette
G,L,73,185,NA,NA,1990-12-15,North York,ON,CAN,NA,26,2009,FALSE,Mathieu Cadieux
G,L,74,175,NA,NA,1991-03-06,Amos,QC,CAN,14,27,2009,FALSE,Jean-Sebastien Boucher
G,L,74,192,NA,NA,1991-03-28,Anchorage,AK,USA,20,30,2009,FALSE,Adam Murray
G,L,76,183,NA,NA,1988-01-05,Norrtalje,NA,SWE,9,NA,2009,TRUE,Eddie Lack
G,L,71,183,NA,NA,1990-12-02,Malmo,NA,SWE,10,NA,2009,TRUE,Sebastian Idoff
G,L,73,188,NA,NA,1990-09-10,Calgary,AB,CAN,21,NA,2009,FALSE,Steven Stanford
G,L,72,165,NA,NA,1991-02-17,Rainy River,ON,CAN,23,NA,2009,FALSE,Matthew Ginn
G,L,72,187,NA,NA,1991-03-19,"Williamsville, NY",NY,USA,27,NA,2009,FALSE,Branden Komm
G,L,71,190,NA,NA,1991-04-18,Victoria,BC,CAN,28,NA,2009,FALSE,Jamie Tucker
G,L,72,195,Seattle,WHL,1992-04-15,Moncton,NB,CAN,1,1,2010,FALSE,Calvin Pickard
G,L,74,190,Ilves Jr.,Finland Jr.,1992-08-06,Tampere,NA,FIN,2,1,2010,TRUE,Sami Aittokallio
G,L,74,175,USA U-18,USHL,1992-01-09,Port Huron,MI,USA,2,2,2010,FALSE,Jack Campbell
G,L,73,189,Almtuna,SWEDEN-2,1991-07-23,Uppsala,NA,SWE,NA,2,2010,TRUE,Fredrik Pettersson Wentzel
G,L,74,190,Everett,WHL,1992-03-26,Edmonton,AB,CAN,7,3,2010,FALSE,Kent Simpson
G,L,74,201,Niagara,OHL,1992-08-07,Hamilton,ON,CAN,8,4,2010,FALSE,Mark Visentin
G,L,74,202,Farjestad Jr.,SWEDEN-JR. 2,1992-02-28,Koping,NA,SWE,4,5,2010,TRUE,Johan Gustafsson
