birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,fullName,height,isInHallOfFameYn,lastName,nationalityCode,playerId,catches,weight,seasonId,assists,gamesPlayed,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,losses,otLosses,penaltyMinutes,points,savePct,saves,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
Belleville,CAN,1980-05-04,ON,135,5,1998,Andrew Raycroft,73,N,Raycroft,CAN,8467453,L,180,20002001,0,15,11,0,32,2.96006,6,NA,0,0,0.89003,259,291,0,BOS,0,38918,4
Riga,LVA,1967-02-02,NA,196,10,1989,Arturs Irbe,68,N,Irbe,LVA,8456692,L,190,20002001,2,83,82,0,200,2.51816,33,NA,10,2,0.90689,1948,2148,6,CAR,9,285923,39
Toronto,CAN,1965-01-14,ON,69,4,1983,Bob Essensa,72,N,Essensa,CAN,8446719,L,188,20002001,0,41,35,0,98,2.69623,14,NA,4,0,0.89254,814,912,1,VAN,3,130849,18
Farmington,USA,1977-03-12,MI,129,5,1995,Brent Johnson,75,N,Johnson,USA,8462161,L,199,20002001,0,33,30,0,65,2.15966,10,NA,2,0,0.9087,647,712,4,STL,2,108350,19
Woonsocket,USA,1977-01-02,RI,22,1,1995,Brian Boucher,74,N,Boucher,USA,8462052,L,200,20002001,0,28,24,0,83,3.30629,12,NA,2,0,0.87443,578,661,1,PHI,5,90373,8
Sussex,GBR,1971-02-25,NA,35,2,1989,Byron Dafoe,71,N,Dafoe,GBR,8455994,L,185,20002001,2,45,45,0,101,2.38915,14,NA,6,2,0.90613,975,1076,2,BOS,7,152188,22
Red Deer,CAN,1976-04-20,AB,122,5,1995,Chris Mason,72,N,Mason,CAN,8462152,L,198,20002001,0,1,1,0,2,2.04836,1,NA,0,0,0.9,18,20,0,NSH,0,3515,0
Peace River,CAN,1972-11-26,AB,54,3,1991,Chris Osgood,70,N,Osgood,CAN,8458568,L,180,20002001,0,58,54,0,142,2.66331,23,NA,8,0,0.90326,1326,1468,2,DET,4,191941,27
Providence,USA,1964-11-15,RI,85,5,1983,Chris Terreri,69,N,Terreri,USA,8451860,L,170,20002001,0,18,13,0,39,2.61155,9,NA,2,0,0.89516,333,372,0,"NJD,NYI",2,53761,4
Medicine Hat,CAN,1972-07-01,AB,169,8,1991,Corey Hirsch,70,N,Hirsch,CAN,8458680,L,170,20002001,0,1,0,0,0,0,0,NA,0,0,1,8,8,0,WSH,0,1200,1
London,CAN,1966-09-11,ON,23,2,1984,Craig Billington,70,N,Billington,CAN,8445470,L,168,20002001,1,12,10,0,27,2.45367,5,NA,0,1,0.91482,290,317,0,WSH,2,39614,3
Keswick,CAN,1967-04-29,ON,NA,NA,NA,Curtis Joseph,71,N,Joseph,CAN,8448382,L,193,20002001,1,79,79,0,187,2.34482,31,NA,12,1,0.91636,2049,2236,9,TOR,8,287100,40
St. Paul,USA,1969-05-28,MN,112,6,1987,Damian Rhodes,71,N,Rhodes,USA,8457791,L,195,20002001,0,38,35,0,116,3.35912,19,NA,16,0,0.89725,1013,1129,0,ATL,7,124318,7
Mont-Laurier,CAN,1976-04-22,QC,26,1,1994,Dan Cloutier,73,N,Cloutier,CAN,8460516,L,195,20002001,0,2,2,0,9,4.62923,2,NA,0,0,0.8421,48,57,0,VAN,0,6999,0
Mont-Laurier,CAN,1976-04-22,QC,26,1,1994,Dan Cloutier,73,N,Cloutier,CAN,8460516,L,195,20002001,0,40,29,0,96,3.00031,19,NA,4,0,0.89201,793,889,1,"TBL,VAN",8,115188,7
Fribourg,CHE,1978-02-07,NA,161,6,1997,David Aebischer,73,N,Aebischer,CHE,8466290,L,187,20002001,1,27,22,0,52,2.23958,7,NA,0,1,0.90334,486,538,3,COL,3,83587,12
Gresham,USA,1979-06-21,OR,NA,NA,NA,Derek Gustafson,71,N,Gustafson,USA,8468477,L,210,20002001,0,4,4,0,10,2.50871,3,NA,0,0,0.8969,87,97,0,MIN,0,14350,1
Saskatoon,CAN,1974-05-11,SK,98,4,1993,Dieter Kochan,73,N,Kochan,CAN,8459523,L,165,20002001,0,10,4,0,18,3.43766,3,NA,0,0,0.86956,120,138,0,TBL,0,18850,0
Hull,CAN,1970-02-22,QC,63,3,1988,Dominic Roussel,73,N,Roussel,CAN,8457866,L,200,20002001,0,21,14,0,52,3.11683,9,NA,2,0,0.8834,394,446,0,"ANA,EDM",2,60061,3
Pardubice,CZE,1965-01-29,NA,199,10,1983,Dominik Hasek,73,Y,Hasek,CZE,8447687,L,166,20002001,3,80,80,0,166,2.10251,30,NA,36,3,0.91992,1907,2073,12,BUF,4,284231,44
Carman,CAN,1965-04-21,MB,NA,NA,NA,Ed Belfour,72,Y,Belfour,CAN,8445386,L,214,20002001,1,73,72,0,169,2.32629,26,NA,10,1,0.90532,1616,1785,8,DAL,7,261532,39
Anjou,CAN,1975-11-04,QC,16,1,1994,Eric Fichaud,71,N,Fichaud,CAN,8460506,L,171,20002001,0,2,1,0,4,3.88873,2,NA,0,0,0.875,28,32,0,MTL,0,3703,0
Kamenogorsk,KAZ,1975-07-25,NA,219,9,1994,Evgeni Nabokov,72,N,Nabokov,RUS,8460705,L,202,20002001,2,70,69,0,145,2.22082,24,NA,8,2,0.91394,1540,1685,7,SJS,7,235048,33
Kazan,RUS,1981-03-29,NA,67,3,1999,Evgeny Konstantinov,72,N,Konstantinov,RUS,8467940,L,180,20002001,0,1,0,0,0,0,0,NA,0,0,NA,0,0,0,TBL,0,24,0
Anjou,CAN,1971-06-23,QC,31,2,1990,Felix Potvin,73,N,Potvin,CAN,8457714,L,195,20002001,0,13,13,0,33,2.43702,6,NA,4,0,0.90858,328,361,2,LAK,0,48748,7
Anjou,CAN,1971-06-23,QC,31,2,1990,Felix Potvin,73,N,Potvin,CAN,8457714,L,195,20002001,5,58,58,0,149,2.617,22,NA,4,5,0.89966,1336,1485,6,"VAN,LAK",8,204967,27
Ottawa,CAN,1972-11-24,ON,NA,NA,NA,Fred Brathwaite,67,N,Brathwaite,CAN,8459252,L,185,20002001,1,49,42,0,106,2.31989,17,NA,2,1,0.91024,1075,1181,5,CGY,10,164490,15
Wrentham,USA,1969-07-28,MA,114,6,1987,Garth Snow,75,N,Snow,USA,8458075,L,200,20002001,0,35,34,0,101,2.98269,15,NA,8,0,0.90039,913,1014,3,PIT,4,121903,14
Pickering,CAN,1962-08-23,ON,NA,NA,NA,Glenn Healy,68,N,Healy,CAN,8447709,L,195,20002001,0,15,14,0,38,2.61793,7,NA,0,0,0.88519,293,331,0,TOR,3,52255,4
Chicago,USA,1977-03-30,IL,NA,NA,NA,Gregg Naumenko,73,N,Naumenko,USA,8467834,L,195,20002001,0,2,1,0,7,5.99144,1,NA,2,0,0.75862,22,29,0,ANA,0,4206,0
Troy,USA,1967-01-07,NY,159,8,1987,Guy Hebert,71,N,Hebert,USA,8447715,L,184,20002001,0,54,53,0,157,3.19305,30,NA,0,0,0.89677,1364,1521,2,"ANA,NYR",5,177009,17
Edmonton,CAN,1971-06-30,AB,48,3,1991,Jamie McLennan,72,N,McLennan,CAN,8458562,L,199,20002001,1,38,37,0,98,2.63633,23,NA,4,1,0.90503,934,1032,2,MIN,9,133822,5
Brampton,CAN,1975-12-28,ON,7,1,1994,Jamie Storr,74,N,Storr,CAN,8460497,L,200,20002001,0,45,41,0,114,2.73873,18,NA,4,0,0.8992,1017,1131,4,LAK,6,149850,19
Turku,FIN,1975-01-07,NA,58,3,1997,Jani Hurme,72,N,Hurme,FIN,8466192,L,195,20002001,0,22,21,0,54,2.49954,5,NA,0,0,0.90408,509,563,2,OTT,4,77774,12
Burnaby,CAN,1980-01-18,BC,66,3,1998,Jason LaBarbera,75,N,LaBarbera,CAN,8467391,L,232,20002001,0,1,0,0,0,0,0,NA,0,0,1,2,2,0,NYR,0,583,0
Montréal,CAN,1977-07-19,QC,76,3,1995,Jean-Sebastien Aubin,71,N,Aubin,CAN,8462102,R,180,20002001,1,37,35,0,107,3.13018,14,NA,4,1,0.89003,866,973,0,PIT,1,123060,20
Montréal,CAN,1977-05-16,QC,13,1,1995,Jean-Sebastien Giguere,73,N,Giguere,CAN,8462044,L,202,20002001,2,34,33,0,87,2.56993,17,NA,8,2,0.91086,889,976,4,ANA,5,121871,11
London,CAN,1968-06-01,ON,34,2,1987,Jeff Hackett,73,N,Hackett,CAN,8447449,L,198,20002001,1,19,17,0,54,3.24562,10,NA,0,1,0.88679,423,477,0,MTL,2,59896,4
Vancouver,CAN,1973-10-19,BC,109,5,1992,Joaquin Gage,72,N,Gage,CAN,8459045,L,200,20002001,0,5,4,0,15,3.45511,2,NA,0,0,0.88,110,125,0,EDM,0,15629,2
Montréal,CAN,1975-01-12,QC,10,1,1993,Jocelyn Thibault,71,N,Thibault,CAN,8459432,L,169,20002001,3,66,65,0,180,2.80926,32,NA,2,3,0.89479,1531,1711,6,CHI,7,230665,27
Leksand,SWE,1973-05-05,NA,218,9,1994,Johan Hedberg,72,N,Hedberg,SWE,8460704,L,190,20002001,0,27,27,0,67,2.41012,10,NA,0,0,0.90884,668,735,2,PIT,1,100078,16
Tolfta,SWE,1978-05-24,NA,175,7,1997,Johan Holmqvist,75,N,Holmqvist,SWE,8466303,L,198,20002001,0,2,2,0,10,5.05334,2,NA,2,0,0.85915,61,71,0,NYR,0,7124,0
Denver,USA,1975-08-31,CO,229,9,1994,John Grahame,75,N,Grahame,USA,8460715,L,220,20002001,0,10,8,0,28,3.5665,4,NA,2,0,0.86729,183,211,0,BOS,0,28263,3
Detroit,USA,1963-09-04,MI,72,4,1981,John Vanbiesbrouck,68,N,Vanbiesbrouck,USA,8452157,L,175,20002001,0,48,46,0,126,2.87459,25,NA,8,0,0.90078,1144,1270,2,"NYI,NJD",5,157796,14
Laval,CAN,1976-09-13,QC,44,2,1994,Jose Theodore,71,N,Theodore,CAN,8460535,R,172,20002001,0,59,55,1,141,2.56532,29,NA,6,1,0.90879,1405,1546,2,MTL,5,197870,20
Sudbury,CAN,1967-04-10,ON,26,2,1985,Kay Whitmore,71,N,Whitmore,CAN,8452440,L,175,20002001,0,5,2,0,18,5.325,2,NA,0,0,0.80851,76,94,0,BOS,0,12169,1
Toronto,CAN,1975-04-04,ON,41,2,1993,Kevin Weekes,74,N,Weekes,CAN,8459463,L,215,20002001,1,61,59,0,177,3.14405,33,NA,4,1,0.89839,1565,1742,4,TBL,3,202668,20
Willowdale,CAN,1966-06-26,ON,107,6,1984,Kirk McLean,72,N,McLean,CAN,8449474,L,182,20002001,0,23,19,0,71,3.4907,10,NA,0,0,0.88888,568,639,0,NYR,1,73223,8
Etobicoke,CAN,1974-08-27,ON,52,3,1992,Manny Fernandez,72,N,Fernandez,CAN,8458988,L,207,20002001,0,42,40,0,92,2.2434,17,NA,6,0,0.91979,1055,1147,4,MIN,4,147633,19
Toronto,CAN,1973-02-04,ON,188,8,1993,Manny Legace,70,N,Legace,CAN,8459308,L,200,20002001,2,39,34,0,73,2.05014,5,NA,4,2,0.91969,836,909,2,DET,5,128186,24
Montréal,CAN,1977-08-01,QC,25,1,1995,Marc Denis,73,N,Denis,CAN,8462055,L,193,20002001,0,32,29,0,99,3.24545,20,NA,2,0,0.89468,841,940,0,CBJ,4,109815,6
