seasonId,teamAbbrev,iceTime,xGoalsAgainst,blockedShotAttemptsAgainst,dZoneGiveawaysAgainst
20082009,MIN,299195,202.35,1033,257
20082009,BOS,295613,216.03,1050,293
20082009,ARI,294089,223.8,1187,228
20082009,LAK,300139,220.77,1040,471
20082009,COL,299370,215.48,1317,291
20082009,DAL,300273,222.56,982,467
20082009,TOR,296754,249.21,1239,531
20082009,CAR,299163,237.2,1194,300
20082009,OTT,303509,217.06,1166,529
20082009,BUF,299891,211.38,1083,400
20082009,TBL,304392,237.54,1118,334
20082009,ANA,299254,222.71,801,310
20082009,EDM,299101,241.97,1074,530
20082009,STL,299689,206.89,1128,293
20082009,NYI,298592,251.2,1391,401
20082009,ATL,306407,251.59,1155,316
20082009,DET,295664,210.66,729,262
20082009,NSH,299763,219.56,1035,368
20082009,VAN,295811,215.95,986,351
20082009,PIT,300589,221.91,1280,297
20082009,CHI,299738,210.42,845,279
20082009,NJD,299526,198.59,970,306
20082009,PHI,300289,231.19,1243,443
20082009,CBJ,300579,191.01,1022,254
20082009,WSH,299139,220.94,1111,512
20082009,NYR,308162,223.2,976,292
20082009,CGY,294011,218.72,778,388
20082009,SJS,299992,193.71,968,339
20082009,MTL,300403,240.31,1316,679
20082009,FLA,299899,247.38,1105,321
20092010,NYI,300913,242.24,1379,398
20092010,PIT,295976,217.44,1168,295
20092010,ANA,299752,259.16,943,326
20092010,CGY,298794,203.81,1062,425
20092010,EDM,299826,262.28,1305,591
20092010,CBJ,299841,205.94,1029,216
20092010,VAN,298370,212.39,991,364
20092010,NSH,299446,215.69,1006,446
20092010,NYR,298628,236.38,1176,296
20092010,BUF,299508,228.74,996,387
20092010,LAK,301170,220.32,990,397
20092010,OTT,299188,210.89,1193,519
20092010,MIN,299672,200.31,1096,313
20092010,TOR,300191,240.28,1218,602
20092010,MTL,300958,237.62,1344,672
20092010,COL,299716,231.07,1226,280
20092010,DAL,301078,226.52,1150,359
20092010,WSH,300518,238.31,1153,500
20092010,ATL,299280,256.61,1069,285
20092010,DET,300907,204.58,914,428
20092010,TBL,300120,248.19,1108,311
20092010,CAR,295601,265.18,1161,297
20092010,ARI,301956,204.58,970,275
20092010,FLA,300490,252.39,1403,274
20092010,SJS,299905,231.13,1062,348
20092010,STL,300124,229.93,1055,335
